number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_bootstrap_type,params_border_count,params_cw_blue,params_cw_green,params_cw_orange,params_cw_red,params_depth,params_grow_policy,params_iterations,params_l2_leaf_reg,params_leaf_estimation_iterations,params_leaf_estimation_method,params_learning_rate,params_max_leaves,params_min_data_in_leaf,params_random_strength,params_rsm,params_subsample,state
0,0.8125083449760417,2026-05-20 13:54:02.025590,2026-05-20 13:54:20.265102,0 days 00:00:18.239512,,MVS,248,6.312602499862605,1.8105311308911887,7.047230260989621,14.06939792754147,8,SymmetricTree,700,0.05134399730019295,3,Gradient,0.1734451662584154,,,1.5320059381854043e-08,0.899465584480253,0.5825453457757226,COMPLETE
1,0.8453842365432532,2026-05-20 13:54:20.466891,2026-05-20 13:55:30.935639,0 days 00:01:10.468748,0.9767211400638387,Bayesian,46,0.8266909505945748,2.728296095500716,2.7085352878269036,12.12350735601083,4,Depthwise,2800,0.005725009730373867,10,Newton,0.056542201075504325,,69.0,3.425445902633376e-07,0.9693313223519999,,COMPLETE
2,0.8466616340873268,2026-05-20 13:55:31.152551,2026-05-20 13:56:31.872504,0 days 00:01:00.719953,,Bernoulli,164,5.65561279000336,1.7642052935932133,5.99454657371025,21.060962710494376,9,Lossguide,1300,8.01208204491558,1,Newton,0.26487326352428686,109.0,28.0,1.1309571585271483,0.9531245410138701,0.5951981984579586,COMPLETE
3,0.8431495371820936,2026-05-20 13:56:32.050371,2026-05-20 13:56:51.922230,0 days 00:00:19.871859,,MVS,48,7.431258694211609,1.9633249491203617,5.353752504019271,3.4618420565785435,8,SymmetricTree,500,0.08107544238906852,2,Newton,0.1409236110165583,,,0.08738424135626986,0.6150794371265635,0.5985388149115896,COMPLETE
4,0.5811925516796534,2026-05-20 13:56:52.093196,2026-05-20 13:57:01.910817,0 days 00:00:09.817621,,MVS,36,1.2313091433735335,1.529591744712301,11.577715939602681,11.438807229819483,7,Lossguide,3000,0.0008995025686634,1,Newton,0.11745358019222601,234.0,25.0,7.04480806377519e-05,0.4647348561959827,0.7051424146988217,COMPLETE
5,0.591622736648798,2026-05-20 13:57:02.070750,2026-05-20 14:01:38.480449,0 days 00:04:36.409699,8.18014765922493,Bayesian,232,1.6387209896699866,1.4994851471182862,6.843754044082906,13.747187959284012,10,Lossguide,4100,0.0012924442669322014,2,Gradient,0.010732966845902341,223.0,1.0,0.18491042486838075,0.5908020849831184,,COMPLETE
6,0.8525247703166636,2026-05-20 14:01:38.646881,2026-05-20 14:02:00.456149,0 days 00:00:21.809268,,MVS,94,9.863679314050707,2.7025374212490334,3.0285282092771233,7.509923485340366,5,Depthwise,4900,0.0005158036179846117,7,Newton,0.2572449543972568,,91.0,5.103930927389519e-06,0.4221321684127197,0.5671878785419668,COMPLETE
7,0.804149251269199,2026-05-20 14:02:00.708670,2026-05-20 14:02:34.737480,0 days 00:00:34.028810,0.16587828927856152,Bayesian,102,7.063908511973427,1.2846489305224615,10.032419065732299,7.209402829552573,7,Depthwise,3400,7.172773200303202e-08,1,Gradient,0.06690855515432795,,52.0,0.3293991394919696,0.5119111062399125,,COMPLETE
8,0.7960805286791759,2026-05-20 14:02:34.908114,2026-05-20 14:04:01.984445,0 days 00:01:27.076331,,MVS,150,7.908817685647427,4.491888909193028,13.559543639336079,18.696980614015505,8,Lossguide,4500,0.5557940374422914,1,Gradient,0.014375707649173603,97.0,35.0,0.0009926755025313784,0.545111374540271,0.7798608743639608,COMPLETE
9,0.7329616673198096,2026-05-20 14:04:02.299993,2026-05-20 14:04:21.663449,0 days 00:00:19.363456,,Bernoulli,186,6.747322476853262,4.3215053472238,10.094860586661005,19.169302317714557,4,SymmetricTree,900,3.341930408530627e-07,3,Newton,0.07564435161995303,,,0.0008681686601996979,0.7911767557015603,0.5952398188955607,COMPLETE
10,0.8325853415477205,2026-05-20 14:04:21.830840,2026-05-20 14:05:51.651569,0 days 00:01:29.820729,,Bernoulli,160,4.016507652426721,4.616889755992018,14.355000078036223,23.630547440117027,8,Lossguide,2300,0.34081845100974206,2,Newton,0.1928251606333976,171.0,18.0,0.00033399028774321775,0.6955106162913183,0.41458957985887235,COMPLETE
11,0.7943314454819653,2026-05-20 14:05:51.822871,2026-05-20 14:07:03.800833,0 days 00:01:11.977962,,MVS,156,8.835044183315576,2.8324834356368154,2.9611762133113366,24.771238552398056,9,SymmetricTree,1800,1.0081108086901795e-05,7,Newton,0.02419535574688273,,,3.353009007953809e-07,0.9616928644964686,0.7690043360195018,COMPLETE
12,0.8682954930165389,2026-05-20 14:07:03.971554,2026-05-20 14:08:35.450748,0 days 00:01:31.479194,,Bernoulli,210,5.655124029721978,2.5951910815960706,1.5031918331543892,15.300443242912001,10,Lossguide,4200,0.0007015423879253971,8,Gradient,0.1740827472474901,106.0,10.0,0.000326322223997746,0.7899783584666591,0.6027970941109215,COMPLETE
13,0.8291433310150609,2026-05-20 14:08:35.610519,2026-05-20 14:08:53.301097,0 days 00:00:17.690578,,MVS,50,3.072906386989705,4.078337876459166,5.521390621177444,13.874908010927491,9,Depthwise,1000,1.1100998575036377e-06,6,Gradient,0.04242262228438098,,98.0,0.00403658667619465,0.43100903270116464,0.835654800233597,COMPLETE
14,0.5714767029645168,2026-05-20 14:08:53.469721,2026-05-20 14:09:03.389131,0 days 00:00:09.919410,,Bernoulli,192,3.881740447186985,1.6147894527552085,6.8744008739890585,16.0695771633901,5,SymmetricTree,2300,2.352785251055042e-06,3,Newton,0.010165143555207987,,,0.0008770815639893795,0.7961184260306388,0.7326124315068404,COMPLETE
15,0.7255794439474086,2026-05-20 14:09:03.525784,2026-05-20 14:09:29.219948,0 days 00:00:25.694164,,Bernoulli,70,2.047877057273582,3.4641213422852526,12.990857776636512,13.572133947342017,4,Lossguide,3700,0.000456145357619613,4,Gradient,0.0348435817054887,106.0,63.0,0.00018249288504126838,0.6603109895427839,0.42718240586322676,COMPLETE
16,0.8109181372622037,2026-05-20 14:09:29.373899,2026-05-20 14:10:36.121313,0 days 00:01:06.747414,,MVS,118,3.530268487790732,0.8203489180710304,10.562094827828997,4.172188097386353,7,Depthwise,2200,0.0014820964634030681,10,Newton,0.06963599001131683,,2.0,2.972920385426788,0.9767143382943485,0.460466800826456,COMPLETE
17,0.8299537846900146,2026-05-20 14:10:36.279308,2026-05-20 14:12:03.484137,0 days 00:01:27.204829,,Bernoulli,70,7.633275144019225,2.4304731231875825,13.017778525802164,23.407418488881987,9,Lossguide,3300,0.4117998680385509,9,Newton,0.18165525354899853,203.0,35.0,3.4539110844500054e-06,0.850368850984515,0.6232108514756699,COMPLETE
18,0.7618942561747449,2026-05-20 14:12:03.650903,2026-05-20 14:12:38.824903,0 days 00:00:35.174000,4.4844552197831975,Bayesian,102,8.02000091539556,3.88568538246956,10.415258385078538,9.559284543508067,4,Depthwise,4600,3.8055266913815773,10,Gradient,0.02460534484269942,,30.0,6.631016232865143e-08,0.9700371802304829,,COMPLETE
19,0.5707302550961155,2026-05-20 14:12:38.991295,2026-05-20 14:12:45.707976,0 days 00:00:06.716681,,Bernoulli,170,4.055572559683143,4.93987810325529,2.187727997192687,3.8710219547636946,4,Depthwise,4500,2.2654240631048404e-07,1,Newton,0.021035361149572242,,71.0,0.07138314619350962,0.46067360567367416,0.8931160355742137,COMPLETE
20,0.6936177393089189,2026-05-20 14:12:45.833919,2026-05-20 14:12:53.891682,0 days 00:00:08.057763,1.1881791626807192,Bayesian,56,6.0420032684230165,3.857201956694405,10.08894422962489,4.703103675873413,7,SymmetricTree,800,0.0001048101688302488,1,Newton,0.12046330234699262,,,1.4361158183889995,0.6955750625745155,,COMPLETE
21,0.8104876309512479,2026-05-20 14:12:54.049977,2026-05-20 14:13:11.993436,0 days 00:00:17.943459,,Bernoulli,254,0.9317406132438497,4.5552110472094505,9.180400366923404,16.43383584193346,4,Lossguide,500,2.7891466132227034,6,Newton,0.2651925093374426,183.0,46.0,0.0005614485722570412,0.44427793884123934,0.7776391828811575,COMPLETE
22,0.8108725559222278,2026-05-20 14:13:12.246166,2026-05-20 14:13:52.708485,0 days 00:00:40.462319,,MVS,250,9.523099176273279,4.201417593154261,13.752980582913795,5.7401896049325,6,Depthwise,1300,0.003399223676499874,7,Newton,0.033380735602413794,,69.0,5.007393631845105e-08,0.9917264466877618,0.8882770118241692,COMPLETE
23,0.8076950798690683,2026-05-20 14:13:53.024169,2026-05-20 14:14:52.664387,0 days 00:00:59.640218,,Bernoulli,164,8.714862574423005,0.753689734929172,4.827699007029887,11.540848553766299,9,SymmetricTree,600,22.72665867245271,10,Newton,0.02335494295625277,,,2.2581460114803295e-07,0.6285345139786129,0.6812158958769822,COMPLETE
24,0.7211234931672925,2026-05-20 14:14:52.832780,2026-05-20 14:16:19.488756,0 days 00:01:26.655976,,MVS,166,5.743114968357613,4.334816751433431,8.282289015567908,19.763323009919706,7,Lossguide,4400,1.67517212839396e-07,7,Newton,0.013765511092757554,177.0,53.0,3.8588619791066523,0.5371856833020776,0.46813455531977743,COMPLETE
25,0.8280755600917713,2026-05-20 14:16:19.659904,2026-05-20 14:16:50.966554,0 days 00:00:31.306650,,MVS,110,9.5204459247476,4.380636689360353,9.709213803190229,11.120483993389215,5,Lossguide,3300,1.9606903430496754e-07,4,Gradient,0.08931621785592124,139.0,79.0,1.351767469947463e-08,0.7539506121127799,0.6089532802139802,COMPLETE
26,0.7488176140593288,2026-05-20 14:16:51.139473,2026-05-20 14:17:46.975506,0 days 00:00:55.836033,,MVS,60,2.3267456786823724,1.2754394204073343,10.345808339294381,12.901117726046063,8,Lossguide,2700,1.8875095078312064e-06,2,Gradient,0.019210562929559673,99.0,90.0,4.816925761080064e-08,0.4768275033746635,0.509128050639487,COMPLETE
27,0.8087417731697505,2026-05-20 14:17:47.147165,2026-05-20 14:18:13.868572,0 days 00:00:26.721407,9.208724005318132,Bayesian,40,7.608467058644754,4.127905759068776,4.876287074060852,3.4047930766618664,6,SymmetricTree,2600,0.0005901284027116437,7,Gradient,0.011637576898395506,,,0.01635134408779742,0.8796462393454256,,COMPLETE
28,0.7037731252640655,2026-05-20 14:18:14.025007,2026-05-20 14:18:35.436706,0 days 00:00:21.411699,5.326172664550231,Bayesian,232,3.559752073040194,0.5903203899997687,6.281978283464717,8.192594311835762,4,Depthwise,2600,2.4681726225139164e-06,6,Gradient,0.10668083040966359,,25.0,0.026311540309806165,0.7070064652693997,,COMPLETE
29,0.809206663042854,2026-05-20 14:18:35.573272,2026-05-20 14:19:02.750866,0 days 00:00:27.177594,,MVS,198,6.254860783890428,4.939318619568408,5.985354162569847,15.127901007384974,4,SymmetricTree,4100,0.0012309029811575977,2,Gradient,0.0384835939460013,,,0.0019123618098632563,0.6589957277378076,0.7875503447989607,COMPLETE
30,0.7950982619480331,2026-05-20 14:19:02.880509,2026-05-20 14:19:55.692424,0 days 00:00:52.811915,,Bernoulli,122,6.852110589282095,1.2689941432552962,4.610639578629158,20.79265763183344,10,SymmetricTree,1800,5.7595020388949423e-08,2,Gradient,0.010168443493854182,,,0.0005255360422674464,0.9894271701451638,0.9193042755363882,COMPLETE
31,0.8327601329587522,2026-05-20 14:19:55.850527,2026-05-20 14:20:20.537722,0 days 00:00:24.687195,,Bernoulli,168,9.90462220770448,0.7851873671274548,2.8818054771456394,9.741898398460172,7,Depthwise,1900,1.983108278125089e-06,6,Gradient,0.0285404186679087,,6.0,1.0802677790276098e-07,0.5731783319441535,0.7195536595309515,COMPLETE
